Startpos 3 12
Mobs 11
10 2
1 3
6 3
7 5
2 6
10 6
3 9
11 9
10 11
6 12
3 13
Portals 2
1 5
9 4
Gates 2
1 13
4 9
Walls
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
1 0
1 6
1 10
1 14
2 0
2 2
2 5
2 7
2 12
2 13
2 14
3 0
3 3
3 9
3 11
3 14
4 0
4 4
4 7
4 10
4 14
5 0
5 1
5 2
5 5
5 9
5 12
5 14
6 0
6 6
6 8
6 11
6 12
6 14
7 0
7 2
7 7
7 12
7 14
8 0
8 2
8 4
8 6
8 8
8 10
8 14
9 0
9 5
9 9
9 12
9 13
9 14
10 0
10 2
10 4
10 7
10 10
10 14
11 0
11 2
11 3
11 5
11 8
11 11
11 14
12 0
12 2
12 5
12 8
12 12
12 14
13 0
13 8
13 9
13 10
13 14
14 0
14 1
14 2
14 3
14 4
14 5
14 6
14 7
14 8
14 9
14 10
14 11
14 12
14 13
14 14
