Startpos 13 7
Mobs 7
4 6
4 11
7 2
7 6
7 9
10 6
10 11
Portals 0
Gates 2
1 1
1 13
Walls
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
1 0
1 14
2 0
2 1
2 2
2 3
2 4
2 5
2 6
2 8
2 9
2 10
2 11
2 12
2 13
2 14
3 0
3 14
4 0
4 14
5 0
5 1
5 3
5 5
5 7
5 9
5 11
5 13
5 14
6 0
6 14
7 0
7 14
8 0
8 1
8 2
8 3
8 4
8 5
8 6
8 8
8 9
8 10
8 11
8 12
8 13
8 14
9 0
9 14
10 0
10 14
11 0
11 1
11 3
11 5
11 7
11 9
11 11
11 13
11 14
12 0
12 14
13 0
13 14
14 0
14 14
14 0
14 1
14 2
14 3
14 4
14 5
14 6
14 7
14 8
14 9
14 10
14 11
14 12
14 13
14 14
