Startpos 13 7
Mobs 9
2 11
3 7
4 3
6 9
7 5
8 9
10 3
11 7
12 11
Portals 0
Gates 2
13 4
13 10
Walls
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
1 0
1 1
1 4
1 10
1 13
1 14
2 0
2 4
2 7
2 10
2 14
3 0
3 1
3 7
3 13
3 14
4 0
4 3
4 5
4 6
4 7
4 8
4 9
4 11
4 14
5 0
5 3
5 11
5 14
6 0
6 3
6 5
6 7
6 9
6 11
6 14
7 0
7 4
7 10
7 14
8 0
8 2
8 3
8 6
8 7
8 8
8 11
8 12
8 14
9 0
9 3
9 7
9 11
9 14
10 0
10 3
10 7
10 11
10 14
11 0
11 1
11 3
11 7
11 11
11 13
11 14
12 0
12 4
12 10
12 14
13 0
13 5
13 9
13 14
14 0
14 1
14 2
14 3
14 4
14 5
14 6
14 7
14 8
14 9
14 10
14 11
14 12
14 13
14 14
